Pizza;;
Végétarienne;tomate fraiche tapenade olive;9
Jambon Mozza;blanc de volaille base mozza parmesan;9
Trois fromages;mozzarella cevre gorgonzola tomate;10
Régina;jambon cuit chamoignons de paris;7,5
Margharita;fromage mozzarella sauce tomate olive origan;8
Vésuvio;chorizo poivron frais oignos rouges, œuf;8
Merguez;merguez bœuf ou mouton, oignons rouges;10
Desserts;;
Café gourmand;café, dec ou thé, gaufre ou moelleux;5
Moelleux chocolat;moelleux chocolat, amande;5,5
Crousti poire;mini pizza cuite à la minute;4,5
Mousse chocolat;choclat noir fondant;3,5
Glaces;;
Coupe antillaise;Rhum-raisin (3boules), rhum (3cl);5
Colonel Italien;Citron (3 boules), rhum (3cl);5
Fresca;Sorbets : citron, framboise, fruit de la passion;5,5
